app_id,title,date_release,win,mac,linux,rating,positive_ratio,user_reviews,price_final,price_original,discount,steam_deck
13500,Prince of Persia: Warrior Within™,21-11-2008,TRUE,FALSE,FALSE,Very Positive,84,2199,9.99,9.99,0,TRUE
22364,BRINK: Agents of Change,03-08-2011,TRUE,FALSE,FALSE,Positive,85,21,2.99,2.99,0,TRUE
113020,Monaco: What's Yours Is Mine,24-04-2013,TRUE,TRUE,TRUE,Very Positive,92,3722,14.99,14.99,0,TRUE
226560,Escape Dead Island,18-11-2014,TRUE,FALSE,FALSE,Mixed,61,873,14.99,14.99,0,TRUE
249050,Dungeon of the ENDLESS™,27-10-2014,TRUE,TRUE,FALSE,Very Positive,88,8784,11.99,11.99,0,TRUE
250180,METAL SLUG 3,14-09-2015,TRUE,FALSE,FALSE,Very Positive,90,5579,7.99,7.99,0,TRUE
253980,Enclave,04-10-2013,TRUE,TRUE,TRUE,Mostly Positive,75,1608,4.99,4.99,0,TRUE
271850,Men of War: Assault Squad 2 - Deluxe Edition upgrade,16-05-2014,TRUE,FALSE,FALSE,Mixed,61,199,6.99,6.99,0,TRUE
282900,Hyperdimension Neptunia Re;Birth1,29-01-2015,TRUE,FALSE,FALSE,Very Positive,94,9686,14.99,14.99,0,TRUE
19810,The Sum of All Fears,10-10-2008,TRUE,FALSE,FALSE,Mostly Positive,75,33,9.99,9.99,0,TRUE
15270,Cold Fear™,13-05-2008,TRUE,FALSE,FALSE,Very Positive,85,800,9.99,9.99,0,TRUE
21130,LEGO® Harry Potter: Years 1-4,25-06-2010,TRUE,FALSE,FALSE,Very Positive,85,5169,19.99,19.99,0,TRUE
22130,Hearts of Iron 2 Complete,23-01-2009,TRUE,FALSE,FALSE,Very Positive,85,462,14.99,14.99,0,TRUE
29180,Osmos,18-08-2009,TRUE,TRUE,TRUE,Very Positive,88,532,9.99,9.99,0,TRUE
32750,Comanche 4,18-06-2009,TRUE,FALSE,FALSE,Very Positive,90,222,9.99,9.99,0,TRUE
241620,Inquisitor,01-08-2013,TRUE,FALSE,FALSE,Mostly Positive,70,390,9.99,9.99,0,TRUE
408520,FORM,01-06-2017,TRUE,FALSE,FALSE,Very Positive,91,934,14.99,14.99,0,TRUE
244910,Homesick,28-05-2015,TRUE,FALSE,FALSE,Mostly Positive,77,1139,14.99,14.99,0,TRUE
245950,Borderlands 2: Headhunter 4: Wedding Day Massacre,11-02-2014,TRUE,TRUE,TRUE,Very Positive,84,294,0.89,2.99,70,TRUE
250460,Bridge Constructor,16-10-2013,TRUE,TRUE,TRUE,Mostly Positive,77,716,2.39,19.99,88,TRUE
278890,Angvik,24-02-2014,TRUE,TRUE,FALSE,Very Positive,88,1986,2.99,2.99,0,TRUE
305181,Sniper Elite 3 - Camouflage Weapons Pack,27-06-2014,TRUE,FALSE,FALSE,Very Positive,95,74,3.99,3.99,0,TRUE
312200,Chasm,30-07-2018,TRUE,TRUE,TRUE,Mostly Positive,73,1065,19.99,19.99,0,TRUE
321290,Dandelion - Wishes brought to you -,29-09-2014,TRUE,TRUE,FALSE,Very Positive,85,589,29.99,29.99,0,TRUE
